"","longitude","latitude"
"1",150.3112812,-33.71617876
"2",-7.5833,33.5333
"3",3.7122749,6.465116
"4",-78.80939021,35.69835057
"5",-73.97712448,40.76147779
"6",-93.09073325,44.95179567
"7",-73.97712448,40.76147779
"8",-116.2509747,33.7298561
"9",12.3001079,45.26875487
"10",-118.2699576,34.03953266
"11",-2.95606838,53.22380836
"12",4.88229123,52.36362316
"13",7.46082606,10.57462291
"14",-122.418732,37.751999
"15",-118.2703822,34.03763536
"16",-114.0661111,51.04888889
"17",-118.2696865,34.04115971
"18",-73.96888211,40.76432416
"19",-97.84628311,30.55871422
"20",-97.84628311,30.55871422
"21",-75.25903246,39.96087292
"22",-97.84628311,30.55871422
"23",-73.963303,40.769371
"24",-97.7405807,30.26471365
"25",-97.77119546,30.31281096
"26",-97.77169722,30.26883072
"27",-97.81528911,30.52746339
"28",-4.87983259,55.91080285
"29",-81.1127929,34.0399421
"30",-2.38051138,52.66613822
"31",-122.407727,37.78270009
"32",-97.74165291,30.26438462
"33",-118.2699571,34.03952658
"34",47.89676084,29.23182896
"35",-81.23080767,34.07239372
"36",80.25022354,12.97297964
"37",-97.76190151,30.28407005
"38",-96.78704015,39.07612367
"39",-74.8772097,40.0960476
"40",-0.77687118,50.836246
"41",122.6791152,8.12038365
"42",-0.14302155,50.82291776
"43",-69.13455087,44.18371025
"44",139.7660202,35.67218526
"45",-76.87188877,38.94788013
"46",-77.470711,37.548862
"47",73.81516566,18.51871315
"48",28.0033032,-26.1823461
"49",101.7724871,3.15769045
"50",101.75389,3.12731
"51",-1.2768517,54.556171
"52",102.8041378,16.43448992
"53",74.65083565,25.35050887
"54",-118.2169214,34.00377049
"55",-79.42263,43.64127167
"56",-3.58612844,50.52868156
"57",55.320047,25.2636818
"58",-79.3968367,43.64874263
"59",55.3203013,25.2633602
"60",-2.2931696,51.75364145
"61",101.7682494,2.9764594
"62",8.40480219,51.90497291
"63",101.2835332,6.85302576
"64",121.1469841,13.8960491
"65",4.76887036,52.30852546
"66",120.9862933,14.6102872
"67",106.5862115,29.66398622
"68",150.8519147,-34.43567543
"69",-3.0208624,53.3449869
"70",21.56102481,57.39475858
"71",100.536086,5.36920785
"72",151.2070599,-33.87942427
"73",99.03864845,7.64907687
"74",-80.24309088,25.7507429
"75",-95.28053389,29.66730763
"76",99.03864845,7.64907687
"77",-82.08088568,40.94762024
"78",101.7074271,3.14575568
"79",115.1618159,-8.69707597
"80",-122.8218024,45.50267035
"81",-118.25971,34.04666661
"82",103.6980144,1.34863234
"83",120.9913395,14.65258041
"84",-82.4969284,27.44252407
"85",-74.21552625,40.66735368
"86",-0.95449281,51.44038916
"87",-95.87375937,36.0626753
"88",-119.9435035,39.058099
"89",-87.93707382,43.03997279
"90",-1.5798926,54.95850849
"91",-81.54785182,28.37488926
"92",2.32047921,48.85113946
"93",23.77392671,37.98162676
"94",-118.1961566,33.87949035
"95",-0.01797568,51.58882593
"96",28.9403718,-25.3189025
"97",2.29393834,48.86077939
"98",121.059892,14.34199666
"99",-82.68625341,28.26848905
"100",-7.67797494,33.59346733
"101",55.76683525,24.27863878
"102",-75.06960103,40.01351675
"103",9.56864064,39.25348352
"104",-97.7332001,30.2643557
"105",58.05939574,23.38634184
"106",-0.11964798,51.50346687
"107",5.37525853,43.25462072
"108",-8.92586379,51.84516431
"109",-96.55867746,39.18750875
"110",-122.407727,37.78270009
"111",-1.420858,54.8880175
"112",-73.93549785,40.84379566
"113",-1.103118,50.8012692
"114",-82.46317244,27.33960186
"115",-117.4619301,33.91204154
"116",-81.4327459,35.0528036
"117",-122.2059117,38.12576383
"118",-86.16038283,39.76871021
"119",-95.2716523,29.6601253
"120",-1.1030618,50.8011984
"121",8.54390714,47.37595123
"122",73.06000381,33.71493854
"123",149.1306262,-35.27870359
"124",80.14562587,12.94590778
"125",103.872634,1.36722122
"126",51.4061175,35.7385929
"127",-77.5290006,43.11119736
"128",-84.39231656,33.71734293
"129",-2.8602315,53.41346267
"130",4.87331662,51.66327791
"131",139.4504993,35.79968498
"132",121.016076,14.73811695
"133",28.98050434,41.02933581
"134",-79.34554006,43.77538377
"135",5.51158516,51.75424072
"136",127.0145952,37.48621864
"137",174.7713366,-41.2991727
"138",103.8361572,1.42862013
"139",101.6519179,2.92186533
"140",101.6519179,2.92186533
"141",121.0560324,14.58361366
"142",-98.52496508,29.41555664
"143",9.0437072,53.4084958
"144",106.82768,-6.15173
"145",120.5764349,16.42007564
"146",115.43905,-8.48746
"147",115.4451315,-8.46738525
"148",72.81725,19.03648
"149",51.52772068,25.32474659
"150",77.55523345,13.01122305
"151",138.6558333,-35.01305556
"152",55.37252985,25.29814822
"153",106.8187955,-6.20331521
"154",-122.418,37.775
"155",-87.643417,41.949699
"156",-82.47189969,28.23248917
"157",144.9746614,-37.85233693
"158",-75.22992357,39.92012208
"159",-121.8943583,36.59933148
"160",-73.16110983,-39.17885747
"161",139.73,35.66
"162",123.8782628,10.31139532
"163",121.0084839,14.5522919
"164",121.0598663,14.34209003
"165",121.0598663,14.34209003
"166",-81.7627106,41.4868742
"167",-122.4488541,37.7744108
"168",-74.06629024,4.74107788
"169",108.5845046,-6.97282407
"170",121.055666,14.54893286
"171",115.5377297,-8.49996707
"172",-1.6319879,54.94481429
"173",-82.41040503,38.41648776
"174",-77.433048,37.5305675
"175",-118.4108078,33.88521428
"176",-81.30889557,28.43135964
"177",9.26611111,45.99444444
"178",-118.021083,33.93557876
"179",-60.6954314,11.2799936
"180",-117.8505627,33.89243724
"181",-97.73986018,30.26655977
"182",-2.10742645,53.37365082
"183",-74.01018061,40.72524577
"184",-80.199086,25.800744
"185",44.51756402,40.20423443
"186",-77.442345,37.546352
"187",74.39402866,31.53768559
"188",3.2807135,6.5402424
"189",9.1113064,39.21479416
"190",-73.912891,40.760514
"191",-77.019,39.0042
"192",-0.92605454,51.43628428
"193",80.27174639,12.99992459
"194",-0.27758416,52.59194207
"195",-118.2624388,34.15254871
"196",-70.54489219,41.77167321
"197",78.68199921,10.80764198
"198",-97.39460017,27.77369833
"199",18.73211762,53.42985756
"200",3.3831492,6.5173777
"201",-87.62713,41.887123
"202",-81.50203769,41.5023168
"203",103.4434916,4.7008835
"204",-87.62581399,41.88074254
"205",-77.019,39.0042
"206",-4.43333,55.8333
"207",103.7685774,1.37569117
"208",12.58874939,41.90681945
"209",116.3880632,39.89460913
"210",101.7148309,3.14867081
"211",-95.56495649,33.63115689
"212",102.2258989,2.27025068
"213",-8.3983604,43.372499
"214",100.4828581,6.9915608
"215",13.26550907,46.10208603
"216",100.4828581,6.9915608
"217",14.26709613,40.87124586
"218",0.06784605,51.56262583
"219",10.21302605,47.49297679
"220",140.0883464,39.72125337
"221",-73.98712585,40.75944565
"222",103.937069,1.33172286
"223",-0.82537563,51.42011983
"224",-1.1030789,50.801291
"225",-1.82795731,52.53287637
"226",-0.46571421,51.64267012
"227",7.31972,11.50673
"228",9.95988472,53.56249539
"229",-116.972024,32.76684006
"230",106.8943135,-6.2392205
"231",100.7210845,4.8110735
"232",-121.9487442,37.36000414
"233",112.7391855,-7.26302623
"234",3.73032002,51.03956943
"235",-97.2534457,37.53971487
"236",127.0234108,37.50318938
"237",151.2012665,-33.86653951
"238",151.2060753,-33.87795357
"239",-79.47008234,43.69083566
"240",108.5845046,-6.97282407
"241",108.5845046,-6.97282407
"242",-73.19558401,40.73344431
"243",-80.24310689,25.75071038
"244",101.7137398,2.96940239
"245",-85.62135937,43.11426948
"246",-121.9720413,37.35116024
"247",120.9778659,14.62533031
"248",-111.0041175,39.84597675
"249",-113.2453461,49.87262344
"250",120.6314857,15.1725111
"251",-79.25763568,43.77518782
"252",-119.9097428,38.9364129
"253",-110.5638534,49.96213458
"254",-86.74650737,33.52388362
"255",-95.37987183,29.74110744
"256",-82.49698145,27.44253463
"257",-97.39474741,27.77376205
"258",-75.5591985,39.74282594
"259",-34.88624519,-8.09969251
"260",-117.1773481,32.92697788
"261",115.5377315,-8.49996694
"262",115.537622,-8.49997165
"263",-1.58244969,52.29307159
"264",-74.850544,39.7768001
"265",-0.03294749,52.10043218
"266",-93.29177793,32.62437788
"267",-7.60946258,37.15258118
"268",3.4000891,6.5168447
"269",50.11616998,25.86732067
"270",-122.7986705,45.46286643
"271",-4.29196517,55.86809048
"272",-80.21827332,25.80016202
"273",125.5719393,7.05973865
"274",-0.05997435,51.51947434
"275",-80.48839544,25.51603866
"276",28.12019454,-25.97577921
"277",-74.04861429,40.7212563
"278",-80.19519312,25.80949864
"279",35.92768001,31.95589399
"280",37.62424744,55.77100956
"281",-3.58589209,50.52898742
"282",121.0232485,14.6907741
"283",-0.05947429,51.50822514
"284",73.1667,33.7
"285",-2.63314965,53.54379712
"286",-81.49261261,41.05486306
"287",-117.1205722,32.709567
"288",-4.27100515,55.83607304
"289",-2.63308779,53.54391476
"290",120.9758914,14.45325361
"291",73.1995543,22.2990232
"292",-75.97820474,36.86052716
"293",10.48308947,44.07470369
"294",80.74992895,8.03733773
"295",80.74992895,8.03733773
"296",101.6699887,2.99378409
"297",121.0499596,14.57267066
"298",13.65379948,37.30851405
"299",-0.132868,51.54565848
"300",35.89534622,31.98302734
"301",88.44666667,22.65472222
"302",88.44666667,22.65472222
"303",88.44666667,22.65472222
"304",88.44666667,22.65472222
"305",136.5424931,34.87127893
"306",35.89670367,31.98367101
"307",35.89673806,31.98368686
"308",73.0693383,19.0410777
"309",80.73610719,7.99897572
"310",80.73610719,7.99897572
